id_source,name,address,country,cuisine,currency,delivery_cost,lat,lon,opening_hours,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,is_mainstream_chain,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_close,sun_open
4-C2C2RGNJVFXXEE,Killiney Kopitiam,Killiney Kopitiam - Oxley Tower,Singapore,"[""Asian"", ""Chinese"", ""Coffee & Tea"", ""Singaporean"", ""Snack""]",SGD,310.0,1.2784846,103.8485272398551,"{""displayedHours"": ""Closed"", ""sun"": ""Closed"", ""mon"": ""07:30-16:00"", ""tue"": ""07:30-16:00"", ""wed"": ""07:30-16:00"", ""thu"": ""07:30-16:00"", ""fri"": ""07:30-16:00"", ""sat"": ""Closed"", ""tempClosed"": true}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2C2RGNJVFXXEE/hero/5bd85db9f73841d2b2e2c2f4632c2015_1605934039410262213.jpeg,3000,4.5,10.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,34.0,0,1900-01-01 07:30:00,1900-01-01 16:00:00,1900-01-01 07:30:00,1900-01-01 16:00:00,1900-01-01 07:30:00,1900-01-01 16:00:00,1900-01-01 07:30:00,1900-01-01 16:00:00,1900-01-01 07:30:00,1900-01-01 16:00:00,,,,
4-CZDTWEEFPEBTNE,XiXiang Kaya Kopitiam,XiXiang Kaya Kopitiam - Robinson Centre,Singapore,"[""Coffee"", ""Malaysian"", ""Tea""]",SGD,320.0,1.279307,103.849402,"{""displayedHours"": ""Closed"", ""sun"": ""Closed"", ""mon"": ""08:00-17:00"", ""tue"": ""08:00-17:00"", ""wed"": ""08:00-17:00"", ""thu"": ""08:00-17:00"", ""fri"": ""08:00-17:00"", ""sat"": ""Closed"", ""tempClosed"": true}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDTWEEFPEBTNE/hero/ce25cc415c96421399cbe301fbe081c1_1587278674473099409.jpeg,3000,,,DELIVERY_TAKEAWAY,,FOOD,GRAB,23.0,0,1900-01-01 08:00:00,1900-01-01 17:00:00,1900-01-01 08:00:00,1900-01-01 17:00:00,1900-01-01 08:00:00,1900-01-01 17:00:00,1900-01-01 08:00:00,1900-01-01 17:00:00,1900-01-01 08:00:00,1900-01-01 17:00:00,,,,
4-C2JFT8CCRZE2CA,Mad Roaster,Mad Roaster [Stall 107],Singapore,"[""Bakery & Cake"", ""Breakfast & Brunch"", ""Coffee & Tea"", ""Snack""]",SGD,320.0,1.27924215,103.8468182,"{""displayedHours"": ""Closed"", ""sun"": ""Closed"", ""mon"": ""08:00-15:00"", ""tue"": ""08:00-15:00"", ""wed"": ""08:00-15:00"", ""thu"": ""08:00-15:00"", ""fri"": ""08:00-15:00"", ""sat"": ""10:00-13:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JFT8CCRZE2CA/hero/572a702f80c64c2f9a91d75014ebdd63_1610965076250337420.jpeg,3000,4.1,15.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,39.0,0,1900-01-01 08:00:00,1900-01-01 15:00:00,1900-01-01 08:00:00,1900-01-01 15:00:00,1900-01-01 08:00:00,1900-01-01 15:00:00,1900-01-01 08:00:00,1900-01-01 15:00:00,1900-01-01 08:00:00,1900-01-01 15:00:00,1900-01-01 10:00:00,1900-01-01 13:00:00,,
4-CZAEN4LUN2EVN6,Monument Lifestyle,Monument Lifestyle - Duxton Road,Singapore,"[""Western"", ""Tea"", ""Cold Brew"", ""Coffee"", ""Islandwide Delivery""]",SGD,350.0,1.2782466666666668,103.8431458,"{""displayedHours"": ""Closed"", ""sun"": ""09:00-16:00"", ""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""09:00-16:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZAEN4LUN2EVN6/hero/2012b9bb58d44e54a9eb905810ad9866_1580694093398650199.jpeg,3000,4.4,8.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,30.0,0,1900-01-01 08:00:00,1900-01-01 16:00:00,1900-01-01 08:00:00,1900-01-01 16:00:00,1900-01-01 08:00:00,1900-01-01 16:00:00,1900-01-01 08:00:00,1900-01-01 16:00:00,1900-01-01 08:00:00,1900-01-01 16:00:00,1900-01-01 09:00:00,1900-01-01 16:00:00,1900-01-01 16:00:00,1900-01-01 09:00:00
4-C2KFEE4ABCCXGE,Gong Cha,Gong Cha - Telok Ayer Street,Singapore,"[""Beverages"", ""Bubble Tea"", ""Coffee & Tea""]",SGD,320.0,1.28131,103.8479033,"{""displayedHours"": ""Closed"", ""sun"": ""Closed"", ""mon"": ""10:30-18:00"", ""tue"": ""10:30-18:00"", ""wed"": ""10:30-18:00"", ""thu"": ""10:30-18:00"", ""fri"": ""10:30-18:00"", ""sat"": ""11:30-15:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KFEE4ABCCXGE/hero/b311368a02a34d26ab0046fe7a21f5b1_1619790628217653841.jpeg,3000,4.6,15.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,37.0,0,1900-01-01 10:30:00,1900-01-01 18:00:00,1900-01-01 10:30:00,1900-01-01 18:00:00,1900-01-01 10:30:00,1900-01-01 18:00:00,1900-01-01 10:30:00,1900-01-01 18:00:00,1900-01-01 10:30:00,1900-01-01 18:00:00,1900-01-01 11:30:00,1900-01-01 15:00:00,,
4-CYXJRRMVUFTENE,Starbucks,Starbucks - West Coast Plaza,Singapore,"[""Western"", ""Sandwiches"", ""Dessert"", ""Coffee"", ""Tea""]",SGD,480.0,1.3033274,103.7654636,"{""open"": true, ""displayedHours"": ""08:30-21:30"", ""sun"": ""08:30-21:30"", ""mon"": ""08:30-21:30"", ""tue"": ""08:30-21:30"", ""wed"": ""08:30-21:30"", ""thu"": ""08:30-21:30"", ""fri"": ""08:30-21:30"", ""sat"": ""08:30-21:30""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYXJRRMVUFTENE/hero/0e0b79ad020746e3b17d4ee90918b0ed_1618365305517772433.jpeg,5000,4.4,595.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,38.0,1,1900-01-01 08:30:00,1900-01-01 21:30:00,1900-01-01 08:30:00,1900-01-01 21:30:00,1900-01-01 08:30:00,1900-01-01 21:30:00,1900-01-01 08:30:00,1900-01-01 21:30:00,1900-01-01 08:30:00,1900-01-01 21:30:00,1900-01-01 08:30:00,1900-01-01 21:30:00,1900-01-01 21:30:00,1900-01-01 08:30:00
4-CZEVTXTHENCDTJ,Thus Coffee,Thus Coffee - The Star Vista,Singapore,"[""Coffee"", ""Snack"", ""Western"", ""Tea"", ""Cold Brew""]",SGD,720.0,1.3066419661927509,103.78872966,"{""open"": true, ""displayedHours"": ""11:00-18:30"", ""sun"": ""10:30-18:00"", ""mon"": ""11:00-18:30"", ""tue"": ""11:00-18:30"", ""wed"": ""11:00-18:30"", ""thu"": ""11:00-18:30"", ""fri"": ""11:00-18:30"", ""sat"": ""11:00-18:30""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEVTXTHENCDTJ/hero/10b9dbaa569841569d8062702ebcb76a_1589335090627342826.jpeg,5000,4.8,,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,40.0,0,1900-01-01 11:00:00,1900-01-01 18:30:00,1900-01-01 11:00:00,1900-01-01 18:30:00,1900-01-01 11:00:00,1900-01-01 18:30:00,1900-01-01 11:00:00,1900-01-01 18:30:00,1900-01-01 11:00:00,1900-01-01 18:30:00,1900-01-01 11:00:00,1900-01-01 18:30:00,1900-01-01 18:00:00,1900-01-01 10:30:00
4-CZLGCTAGMETHV6,Old Tea Hut,Old Tea Hut - Robinson Road,Singapore,"[""Singaporean"", ""Beverages"", ""Bubble Tea"", ""Coffee & Tea"", ""Local""]",SGD,320.0,1.2779671,103.84841171666666,"{""displayedHours"": ""Closed"", ""sun"": ""Closed"", ""mon"": ""07:30-12:00 14:00-16:00"", ""tue"": ""07:30-12:00 14:00-16:00"", ""wed"": ""07:30-12:00 14:00-16:00"", ""thu"": ""07:30-12:00 14:00-16:00"", ""fri"": ""07:30-12:00 14:00-16:00"", ""sat"": ""07:30-14:30""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLGCTAGMETHV6/hero/5c26270f2ec9481d85129727b2e97f80_1596421918066542327.jpeg,3000,4.5,8.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,31.0,0,1900-01-01 07:30:00,,1900-01-01 07:30:00,,1900-01-01 07:30:00,,1900-01-01 07:30:00,,1900-01-01 07:30:00,,1900-01-01 07:30:00,1900-01-01 14:30:00,,
4-C2MZWALBWFCDT6,Each A Cup,Each A Cup - Dover MRT Station,Singapore,"[""Beverages"", ""Bubble Tea"", ""Coffee & Tea"", ""Asian""]",SGD,550.0,1.3114245,103.7783031,"{""open"": true, ""displayedHours"": ""10:00-21:15"", ""sun"": ""10:00-21:15"", ""mon"": ""10:00-21:40"", ""tue"": ""10:00-21:40"", ""wed"": ""10:00-21:40"", ""thu"": ""10:00-21:40"", ""fri"": ""10:00-21:40"", ""sat"": ""10:00-21:15""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MZWALBWFCDT6/hero/45b03a2dd7a94dad92eefe5007c46eee_1617776476484241639.jpeg,5000,5.0,8.0,DELIVERY_TAKEAWAY,30% off Special Deals,FOOD,GRAB,40.0,0,1900-01-01 10:00:00,1900-01-01 21:40:00,1900-01-01 10:00:00,1900-01-01 21:40:00,1900-01-01 10:00:00,1900-01-01 21:40:00,1900-01-01 10:00:00,1900-01-01 21:40:00,1900-01-01 10:00:00,1900-01-01 21:40:00,1900-01-01 10:00:00,1900-01-01 21:15:00,1900-01-01 21:15:00,1900-01-01 10:00:00
4-C2T3KFCDLNWCCX,37 Degrees,37 Degrees - Clementi Bus Interchange,Singapore,"[""Beverages"", ""Bubble Tea"", ""Coffee & Tea""]",SGD,620.0,1.31457404933406,103.765179825493,"{""open"": true, ""displayedHours"": ""11:00-21:30"", ""sun"": ""11:00-21:30"", ""mon"": ""11:00-21:30"", ""tue"": ""11:00-21:30"", ""wed"": ""11:00-21:30"", ""thu"": ""11:00-21:30"", ""fri"": ""11:00-21:30"", ""sat"": ""11:00-21:30""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T3KFCDLNWCCX/hero/04801c898f154c3a8dc53006c1191f1c_1622592124579490815.jpeg,5000,5.0,,DELIVERY_TAKEAWAY,20% off with S$5.00 min. order,FOOD,GRAB,43.0,0,1900-01-01 11:00:00,1900-01-01 21:30:00,1900-01-01 11:00:00,1900-01-01 21:30:00,1900-01-01 11:00:00,1900-01-01 21:30:00,1900-01-01 11:00:00,1900-01-01 21:30:00,1900-01-01 11:00:00,1900-01-01 21:30:00,1900-01-01 11:00:00,1900-01-01 21:30:00,1900-01-01 21:30:00,1900-01-01 11:00:00
SGDD07396,Kaffe & Toast,Kaffe & Toast - Clementi Mall,Singapore,"[""Halal"", ""Breakfast & Brunch"", ""Western"", ""Coffee"", ""Tea""]",SGD,620.0,1.3151673471204188,103.76472565978423,"{""open"": true, ""displayedHours"": ""08:30-20:00"", ""sun"": ""08:30-20:00"", ""mon"": ""08:30-20:00"", ""tue"": ""08:30-20:00"", ""wed"": ""08:30-20:00"", ""thu"": ""08:30-20:00"", ""fri"": ""08:30-20:00"", ""sat"": ""08:30-20:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07396/hero/upload-photo-Hero_Photo_be38932736654a96973018a85f9a1593_1554953775477209860.jpeg,5000,4.2,988.0,DELIVERY_TAKEAWAY,"Use promo code ""TCMFOOD5"" at checkout to enjoy a $5 discount!",FOOD,GRAB,47.0,0,1900-01-01 08:30:00,1900-01-01 20:00:00,1900-01-01 08:30:00,1900-01-01 20:00:00,1900-01-01 08:30:00,1900-01-01 20:00:00,1900-01-01 08:30:00,1900-01-01 20:00:00,1900-01-01 08:30:00,1900-01-01 20:00:00,1900-01-01 08:30:00,1900-01-01 20:00:00,1900-01-01 20:00:00,1900-01-01 08:30:00
SGDD11185,Toast Box,Toast Box - West Coast Plaza,Singapore,"[""Beverages"", ""Local"", ""Coffee"", ""Sandwiches"", ""Tea""]",SGD,450.0,1.303387623880597,103.76538666666666,"{""open"": true, ""displayedHours"": ""08:00-20:25"", ""sun"": ""08:00-20:25"", ""mon"": ""08:00-20:25"", ""tue"": ""08:00-20:25"", ""wed"": ""08:00-20:25"", ""thu"": ""08:00-20:25"", ""fri"": ""08:00-20:25"", ""sat"": ""08:00-20:25""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD11185/hero/6b7a5a38dc0d411ab73d85825bb31b57_1616571635307153198.jpeg,2500,3.9,913.0,DELIVERY_TAKEAWAY,20% OFF Family Bundles,FOOD,GRAB,38.0,1,1900-01-01 08:00:00,1900-01-01 20:25:00,1900-01-01 08:00:00,1900-01-01 20:25:00,1900-01-01 08:00:00,1900-01-01 20:25:00,1900-01-01 08:00:00,1900-01-01 20:25:00,1900-01-01 08:00:00,1900-01-01 20:25:00,1900-01-01 08:00:00,1900-01-01 20:25:00,1900-01-01 20:25:00,1900-01-01 08:00:00
4-C2DHEXNKGU5YUE,Killiney,Killiney - The Star Vista,Singapore,"[""Chinese"", ""Coffee & Tea"", ""Local"", ""Snack"", ""Singaporean""]",SGD,710.0,1.306657534090909,103.7886833,"{""open"": true, ""displayedHours"": ""08:45-21:00"", ""sun"": ""08:45-21:00"", ""mon"": ""08:45-20:00"", ""tue"": ""08:45-20:00"", ""wed"": ""08:45-20:00"", ""thu"": ""08:45-20:00"", ""fri"": ""08:45-20:00"", ""sat"": ""08:45-21:00""}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DHEXNKGU5YUE/hero/533c3ae95a1c40c4a347452d32f2303d_1610699544480935037.jpeg,5000,3.1,11.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,44.0,0,1900-01-01 08:45:00,1900-01-01 20:00:00,1900-01-01 08:45:00,1900-01-01 20:00:00,1900-01-01 08:45:00,1900-01-01 20:00:00,1900-01-01 08:45:00,1900-01-01 20:00:00,1900-01-01 08:45:00,1900-01-01 20:00:00,1900-01-01 08:45:00,1900-01-01 21:00:00,1900-01-01 21:00:00,1900-01-01 08:45:00
